identifier,name,symbol,type,coingecko,cryptocompare,started
WLKN,Walken,WLKN,solana_token,walken,WLKN,1657810920
FB,Fibitpro Exchange,FB,own_chain,fibitpro-exchange,,1652094233
ETHW,Ethereum PoW,ETHW,own_chain,ethereum-pow-iou,ETHW,1663224179
ETHS,Ethereum PoS Fork IOU,ETHS,own_chain,ethereum-pos-iou,,1663224179
ETHF,EthereumFair,ETHF,own_chain,ethereumfair,ETHF,1663224179
MPLX,Metaplex,MPLX,solana_token,metaplex,MPLX,1663646540
CMP,Caduceus,CMP,own_chain,caduceus,,1658811653
NEER,Metaverse.Network Pioneer,NEER,other,metaverse-network-pioneer,NEER,1662976997
NODL,Nodle Network,NODL,other,nodle-network,NODL,1661490029
BSX,Basilisk,BSX,other,basilisk,,1660273211
JUNO,JUNO,JUNO,other,juno-network,JUNO,1634781611
FDM,Fandom,FDM,other,fandom,FDM,1658502062
KLEVA,Kleva,KLEVA,other,kleva,,1663053708
KUSD,Kolibri USD,KUSD,other,kolibri-usd,,1635300000
MOR,Moreal,MOR,other,moreal,,1663135530
UZRS,UZUROCKS,UZRS,other,uzurocks,,1664262004
APT,Aptos,APT,own_chain,aptos,APT,1666148633
POKT,Pocket Network,POKT,own_chain,pocket-network,POKT,1641949200
XPLA,XPLA,XPLA,own_chain,xpla,XPLA,1666375343
PARA,Parallel Finance,PARA,other,parallel-finance,PARALL,1662624033
SWP,Kava Swap,SWP,other,kava-swap,SWP,1630548000
SMR,Shimmer,MUNT,own_chain,shimmer,SMR,1664474634
POLYX,Polymesh,POLYX,other,polymesh,POLYX,1653530400
AFC,Arsenal Fan Token,AFC,other,arsenal-fan-token,AFC,1635300000
TOKKI,CRYPTOKKI,TOKKI,other,cryptokki,TOKKI,1660960800
MNDE,Marinade,MNDE,solana_token,marinade,MNDE,1633572000
AZERO,Aleph Zero,AZERO,own_chain,aleph-zero,AZERO,1643331600
BEAT,MetaBeat,$BEAT,own_chain,metabeat,,1668556860
FPFT,Peruvian National Football Team Fan Token,FPFT,other,peruvian-national-football-team-fan-token,,1655085600
ARG,Argentine Football Association Fan Token,ARG,other,argentine-football-association-fan-token,,1625796000
FLR,Flare,FLR,own_chain,flare-networks,FLR,1673326926
RON,Ronin,RON,own_chain,ronin,RONIN,1643245200
ALT,AptosLaunch Token,ALT,own_chain,aptos-launch-token,,1669964410
OAS,Oasys,OAS,own_chain,oasys,,1669964410
BDX,Beldex,BDX,own_chain,beldex,BDX,1542070800
DOGA,Dogami,DOGA,other,dogami,DOGA,1647910800
PLEX,PLEX,PLEX,own_chain,plex,PLEX,1608080400
TUP,Tenup,TUP,own_chain,tenup,TUP,1543885200
PCI,Paycoin,PCI,own_chain,pay-coin,PCI,1566352800
STC,StarChain,STC,own_chain,starchain,,1516669200
MENGO,Flamengo Fan Token,MENGO,other,flamengo-fan-token,MENGO,1635213600
TAKI,Taki,TAKI,solana_token,taki,TAKI,1651111200
TRA,Trabzonspor Fan Token,TRA,other,trabzonspor-fan-token,TRA,1604714400
LING,Lingose,LING,other,lingose,LING,1663034400
CHE,CherrySwap,CHE,other,cherryswap,CHE,1628042400
KCAL,KCAL,KCAL,other,kcal,,1665972000
BHP,Blockchain of Hash Power,BHP,own_chain,blockchain-of-hash-power,BHP,1548468000
SNFT,Spain National Football Team Fan Token,SNFT,other,spain-national-fan-token,SNFT,1637200800
OKT,OKC,OKT,own_chain,oec-token,OKT,1611021600
ZYRO,Zyro,ZYRO,other,zyro,ZYRO,1599962400
KCASH,Kcash,KCASH,other,kcash,KCASH,1516759200
WACME,Wrapped Accumulate,WACME,other,wrapped-accumulate,,1516759200
BONK,Bonk,BONK,solana_token,bonk,BONK,1672279200
POR,Portugal National Team Fan Token,POR,other,portugal-national-team-fan-token,POR,1632362400
UT,Ulord,UT,own_chain,ulord,UT,1537063200
OKDOT1,OKX Staked DOT1,OKDOT1,own_chain,okx-staked-dot1,,1660701600
OKDOT2,OKX Staked DOT2,OKDOT2,own_chain,okx-staked-dot2,,1660788000
CGS,Crypto Gladiator Shards,CGS,other,crypto-gladiator-shards,CGS,1629683683
WGRT,WaykiChain Governance Coin,WGRT,other,waykichain-governance-coin,WGRT,1597284000
LAT,PlatON Network,LAT,own_chain,platon-network,LAT,1620784800
TRUE,TrueChain,TRUE,own_chain,true-chain,TRUE,1516759200
ORB,Orbcity,ORB,other,klaycity-orb,ORB,1647828000
ACS,Access Protocol,ACS,solana_token,access-protocol,,1676487717
HDX,HydraDX,HDX,other,hydradx,,1612918800
KON,KonPay,KON,own_chain,konpay,,1657591200
CARMIN,Carmin,CARMIN,own_chain,carmin,,1676437326
NXRA,AllianceBlock Nexera,NXRA,own_chain,allianceblock-nexera,,1677171832
SUI,Sui,SUI,own_chain,sui,SUI,1683126000
CETUS,Cetus Protocol,CETUS,other,cetus-protocol,,1683126000
MYRIA,Myria,MYRIA,other,myria,,1680782512
CAPY,Capybara,CAPY,solana_token,capybara,,1680782512
NOM,Onomy Protocol,NOM,other,onomy-protocol,,1678881712
HMND,Humanode,HMND,other,humanode,,1680260512
OTK,Octokn,OTK,solana_token,octo-gaming,,1681383712
ZPAY,ZoidPay,ZPAY,other,zoid-pay,ZPAY,1625104800
SUIP,SuiPad,SUIP,other,suipad,,1683867600
CORE,Coreum,CORE,other,coreum,CORE,1646787600
KSP,KlaySwap Protocol,KSP,other,klayswap-protocol,KSP,1624496400
KING,KING,KING,solana_token,king-2,,1683608400
CID,CORE ID,CID,other,core-id,,1682143440
KAS,Kaspa,KAS,other,kaspa,KAS,1682143440
SHDW,Shadow Token,SHDW,solana_token,genesysgo-shadow,,1682143440
NGN,Naira,NGN,fiat,,,
LUKSO,LUKSO,LUKSO,own_chain,lukso-token-2,LYXE,1684858812
SSWP,Suiswap,SSWP,own_chain,suiswap,LYXE,1686639600
XPLL,ParallelChain,XPLL,own_chain,parallelchain,,1686319200
OXBT,OXBT,OXBT,other,oxbt,,1683789300
SOLO,Sologenic,SOLO,other,solo-coin,,1583456400
PIP,PIP,PIP,solana_token,pip,,1677546000
OMN,OmegaNetwork,OMN,own_chain,omega-network,,1687136400
ORDI,ORDI,ORDI,other,ordinals,,1683507600
IRON,Iron Fish,IRON,own_chain,iron-fish,,1682388000
DGLD,SPDR Gold Shares Defichain,DGLD,other,gld-tokenized-stock-defichain,DGLD,1647396000
ATM,Atletico Madrid Fan Token,ATM,other,atletico-madrid,ATM,1592791200
ECS,eCredits,ECS,own_chain,ecredits,,1686276000
FNSA,FINSCHIA,FNSA,own_chain,link,,1539828000
VMPX,VMPX,VMPX,other,vmpx,,1683597600
XDAI,XDAI,XDAI,own_chain,xdai,,1539024185
SEI,Sei,SEI,own_chain,sei-network,SEI,1692111611
ISLM,Islamic Coin,ISLM,own_chain,islamic-coin,,1697191211
NTRN,Neutron,NTRN,own_chain,neutron-3,,1688522400
TIA,Celestia,TIA,own_chain,celestia,TIA,1698771611
WSTUSDT,Wrapped Staked Tether,WSTUSDT,tron_token,wrapped-staked-usdt,,1691028011
SPURS,Tottenham Hotspur FC Fan Token,SPURS,other,tottenham-hotspur-fc-fan-token,,1698327431
